SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-22-2022,Single Family Residential,123 Jasmine Creek Dr,Corona Del Mar,CA,92625,2500000,3,2,CS - Corona Del Mar - Spyglass,1953,7056,1978,,1280,690,Sold,,,https://www.redfin.com/CA/Corona-del-Mar/123-Jasmine-Creek-Dr-92625/home/4720702,CRMLS,OC22011859,N,Y,33.6069616,-117.8653553
PAST SALE,March-31-2022,Condo/Co-op,3934 W 5th St #37,Santa Ana,CA,92703,368500,1,1,"66 - N of Blsa, S of GGrv, E of Brookhrst, W of Ha",616,,1983,,598,408,Sold,,,https://www.redfin.com/CA/Santa-Ana/3934-W-5th-St-92703/unit-37/home/5649596,CRMLS,OC22021069,N,Y,33.7483555,-117.9229924
PAST SALE,March-3-2022,Single Family Residential,135 Zion Dr,Lake Forest,CA,92630,1850000,5,4.5,LN - Lake Forest North,3106,4343,2017,,596,211,Sold,,,https://www.redfin.com/CA/Lake-Forest/135-Zion-Dr-92630/home/143912505,CRMLS,OC22010968,N,Y,33.6686433,-117.6557635
PAST SALE,July-1-2022,Condo/Co-op,4707 E Via La Paloma #4,Orange,CA,92869,787000,3,3,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",1917,,1983,,411,365,Sold,,,https://www.redfin.com/CA/Orange/4707-E-Via-La-Paloma-92869/unit-4/home/103509317,CRMLS,OC22115489,N,Y,33.7840063,-117.8036387
PAST SALE,,Single Family Residential,4129 E Townsend Ave,Orange,CA,92867,1437500,4,3,,3447,10500,1990,,417,,,,,https://www.redfin.com/CA/Orange/4129-E-Townsend-Ave-92867/home/4325855,,,N,Y,33.8322801,-117.8096404
PAST SALE,May-16-2022,Single Family Residential,20 Del Carlo,Irvine,CA,92606,1325000,3,2.5,WP - Westpark,1706,2793,1994,,777,141,Sold,,,https://www.redfin.com/CA/Irvine/20-Del-Carlo-92606/home/4626153,CRMLS,OC22104180,N,Y,33.6899952,-117.8045219
PAST SALE,July-13-2021,Condo/Co-op,23 Aryshire Ln,Ladera Ranch,CA,92694,717000,3,2.5,LD - Ladera Ranch,1682,,2003,,426,384,Sold,,,https://www.redfin.com/CA/Ladera-Ranch/23-Aryshire-Ln-92694/home/5943504,CRMLS,OC21129028,N,Y,33.5531176,-117.6398075
PAST SALE,,Single Family Residential,30482 Via Festivo,San Juan Capistrano,CA,92675,2325000,3,3.5,,4130,10500,1989,,563,,,,,https://www.redfin.com/CA/San-Juan-Capistrano/30482-Via-Festivo-92675/home/4911091,,,N,Y,33.5205183,-117.651039
PAST SALE,April-15-2022,Condo/Co-op,25671 Le Parc #11,Lake Forest,CA,92630,623000,2,1.5,LN - Lake Forest North,1084,,1983,,575,418,Sold,,,https://www.redfin.com/CA/Lake-Forest/25671-Le-Parc-92630/unit-11/home/5374254,CRMLS,OC22044806,N,Y,33.6410273,-117.6804
PAST SALE,December-27-2022,Single Family Residential,3261 Colorado Ln,Costa Mesa,CA,92626,1169000,4,2,699 - Not Defined,1635,6050,1960,,715,,Sold,,,https://www.redfin.com/CA/Costa-Mesa/3261-Colorado-Ln-92626/home/3691313,CRMLS,OC22260422,N,Y,33.6898429,-117.9281793
PAST SALE,,Condo/Co-op,7 Brisa Ribera #17,Rancho Santa Margarita,CA,92688,455000,1,1,,804,,1986,,566,,,,,https://www.redfin.com/CA/Rancho-Santa-Margarita/7-Brisa-Ribera-92688/unit-17/home/5307500,,,N,Y,33.6520919,-117.5830554
PAST SALE,,Single Family Residential,6692 Mount Lowe Dr,Buena Park,CA,90620,750000,4,1.5,,1527,6000,1959,,491,,,,,https://www.redfin.com/CA/Buena-Park/6692-Mount-Lowe-Dr-90620/home/3662782,,,N,Y,33.8209737,-118.0161157
PAST SALE,March-14-2022,Single Family Residential,1 Del Cambrea,Irvine,CA,92606,1400000,3,2.5,WP - Westpark,1706,3850,1994,,821,141,Sold,,,https://www.redfin.com/CA/Irvine/1-Del-Cambrea-92606/home/4626305,CRMLS,OC22030376,N,Y,33.6892392,-117.8041651
PAST SALE,March-21-2022,Single Family Residential,27181 Huerta,Mission Viejo,CA,92692,950000,3,2,MS - Mission Viejo South,1120,7280,1975,,848,72,Sold,,,https://www.redfin.com/CA/Mission-Viejo/27181-Huerta-92692/home/5015565,CRMLS,OC22032592,N,Y,33.5666016,-117.6556684
PAST SALE,February-14-2022,Single Family Residential,26492 Bay Tree Rd,San Juan Capistrano,CA,92675,881000,4,2,JN - San Juan North,1572,3000,1972,,560,135,Sold,,,https://www.redfin.com/CA/San-Juan-Capistrano/26492-Bay-Tree-Rd-92675/home/4907488,CRMLS,OC22007346,N,Y,33.5350803,-117.6682124
PAST SALE,,Condo/Co-op,325 Placemark #92,Irvine,CA,92614,910000,2,3.5,,1783,,2019,,510,,,,,https://www.redfin.com/CA/Irvine/325-Placemark-92614/unit-92/home/173436573,,,N,Y,33.687832,-117.8525402
PAST SALE,September-14-2023,Single Family Residential,26172 Canary Ct,Lake Forest,CA,92630,1100000,3,3,LN - Lake Forest North,1662,4250,1986,,662,64,Sold,,,https://www.redfin.com/CA/Lake-Forest/26172-Canary-Ct-92630/home/4817801,CRMLS,OC23139493,N,Y,33.6563308,-117.6735317
PAST SALE,January-4-2022,Condo/Co-op,1801 E Katella Ave #3001,Anaheim,CA,92805,460000,1,1,78 - Anaheim East of Harbor,728,,2006,,632,259,Sold,,,https://www.redfin.com/CA/Anaheim/1801-E-Katella-Ave-92805/unit-3001/home/12252260,CRMLS,OC21266774,N,Y,33.8040387,-117.88993
PAST SALE,August-26-2021,Single Family Residential,196 N Willow Springs Rd,Orange,CA,92869,1287500,4,2.5,"75 - Orange, Orange Park Acres E of 55",2702,11250,1984,,476,100,Sold,,,https://www.redfin.com/CA/Orange/196-N-Willow-Springs-Rd-92869/home/4437966,CRMLS,OC21156126,N,Y,33.7895087,-117.7728217
PAST SALE,August-3-2021,Single Family Residential,16211 Kipling Cir,Westminster,CA,92683,1120000,4,3.5,"67 - S of Bolsa, E of Beach",2390,6000,1976,,469,,Sold,,,https://www.redfin.com/CA/Westminster/16211-Kipling-Cir-92683/home/3518248,CRMLS,OC21155852,N,Y,33.7272564,-117.9746172
PAST SALE,June-16-2023,Single Family Residential,20 Bahia,Irvine,CA,92614,1405000,3,2,WP - Westpark,1405,3780,1988,,1000,47,Sold,,,https://www.redfin.com/CA/Irvine/20-Bahia-92614/home/4659665,CRMLS,OC23096270,N,Y,33.6797858,-117.8205793
PAST SALE,May-27-2022,Single Family Residential,2913 Camino Capistrano #30,San Clemente,CA,92672,1100000,2,2,SN - San Clemente North,1250,43560,1963,,880,395,Sold,,,https://www.redfin.com/CA/San-Clemente/2913-Camino-Capistrano-92672/unit-30/home/5144721,CRMLS,OC22098524,N,Y,33.4448382,-117.6472201
PAST SALE,July-14-2021,Condo/Co-op,119 Mirth,Irvine,CA,92618,905000,3,3.5,GP - Great Park,1960,,2019,,462,444,Sold,,,https://www.redfin.com/CA/Irvine/119-Mirth-92618/home/173436202,CRMLS,OC21123296,N,Y,33.6940818,-117.7344181
PAST SALE,September-2-2021,Condo/Co-op,88 Greenfield #91,Irvine,CA,92614,580500,2,1.5,WB - Woodbridge,1060,,1982,,548,575,Sold,,,https://www.redfin.com/CA/Irvine/88-Greenfield-92614/unit-91/home/5573641,CRMLS,OC21162581,N,Y,33.6790288,-117.8108709
PAST SALE,April-11-2022,Single Family Residential,3641 Pine St,Irvine,CA,92606,1415000,4,3,WN - Walnut (Irvine),2277,5000,1974,,621,55,Sold,,,https://www.redfin.com/CA/Irvine/3641-Pine-St-92606/home/4675489,CRMLS,OC22058073,N,Y,33.7042364,-117.7961779
PAST SALE,June-12-2023,Single Family Residential,22351 Modina,Laguna Hills,CA,92653,1105000,4,2,S2 - Laguna Hills,1496,5750,1972,,739,,Sold,,,https://www.redfin.com/CA/Laguna-Hills/22351-Modina-92653/home/4830986,CRMLS,OC23086778,N,Y,33.6167311,-117.7393761
PAST SALE,June-3-2022,Condo/Co-op,2220 E Chapman Ave #2,Fullerton,CA,92831,705000,2,2.5,83 - Fullerton,1563,1563,1979,,451,420,Sold,,,https://www.redfin.com/CA/Fullerton/2220-E-Chapman-Ave-92831/unit-2/home/5235047,CRMLS,OC22097553,N,Y,33.8739757,-117.8917907
PAST SALE,September-30-2021,Condo/Co-op,24983 La Pantera,Laguna Niguel,CA,92677,575000,2,2,LNLAK - Lake Area,850,,1989,,676,426,Sold,,,https://www.redfin.com/CA/Laguna-Niguel/24983-La-Pantera-92677/home/5396419,CRMLS,OC21186528,N,Y,33.5536073,-117.6938681
PAST SALE,June-13-2023,Single Family Residential,29931 Happy Sparrow Ln,Laguna Niguel,CA,92677,1570000,4,3,LNSMT - Summit,2557,5355,1978,,614,69,Sold,,,https://www.redfin.com/CA/Laguna-Niguel/29931-Happy-Sparrow-Ln-92677/home/4931730,CRMLS,OC23080121,N,Y,33.5286619,-117.7218282
PAST SALE,May-23-2024,Condo/Co-op,182 Guinevere,Irvine,CA,92620,1300000,3,2.5,Garland Park (WDGP),1719,,2004,,756,381,Sold,,,https://www.redfin.com/CA/Irvine/182-Guinevere-92620/unit-65/home/12257884,CRMLS,OC24076014,N,Y,33.7000948,-117.7490965
PAST SALE,September-10-2021,Condo/Co-op,140 Vintage #29,Irvine,CA,92620,892000,3,3,WD - Woodbury,1792,,2004,,498,366,Sold,,,https://www.redfin.com/CA/Irvine/140-Vintage-92620/unit-29/home/7216816,CRMLS,OC21168085,N,Y,33.7003922,-117.7527943
PAST SALE,February-14-2022,Single Family Residential,5152 Citation Ave,Cypress,CA,90630,960500,4,2,80 - Cypress North of Katella,1249,6500,1963,,769,,Sold,,,https://www.redfin.com/CA/Cypress/5152-Citation-Ave-90630/home/3966106,CRMLS,OC22003321,N,Y,33.8118961,-118.0425874
PAST SALE,August-18-2023,Condo/Co-op,77 Strawflower St,Ladera Ranch,CA,92694,750000,2,2.5,LD - Ladera Ranch,1440,,2003,,521,475,Sold,,,https://www.redfin.com/CA/Ladera-Ranch/77-Strawflower-St-92694/home/5916588,CRMLS,OC23120323,N,Y,33.5482407,-117.6365452
PAST SALE,September-10-2021,Condo/Co-op,22195 Caminito Laureles #97,Laguna Hills,CA,92653,610000,3,2,S2 - Laguna Hills,1195,,1985,,510,420,Sold,,,https://www.redfin.com/CA/Laguna-Hills/22195-Caminito-Laureles-92653/unit-97/home/5634513,CRMLS,OC21166470,N,Y,33.6252817,-117.7424799
PAST SALE,January-18-2022,Condo/Co-op,20856 Serrano Creek Rd #72,Lake Forest,CA,92630,450000,2,1,LN - Lake Forest North,884,,1982,,509,400,Sold,,,https://www.redfin.com/CA/Lake-Forest/20856-Serrano-Creek-Rd-92630/unit-72/home/5743061,CRMLS,OC22003401,N,Y,33.6594411,-117.6748569
PAST SALE,August-21-2023,Single Family Residential,131 Cardinal,Irvine,CA,92618,2260000,4,4.5,GP - Great Park,2825,6542,2013,,800,235,Sold,,,https://www.redfin.com/CA/Irvine/131-Cardinal-92618/home/51682482,CRMLS,OC23140912,N,Y,33.6990596,-117.7222576
PAST SALE,March-17-2022,Single Family Residential,32931 Joel Cir,Dana Point,CA,92629,1924500,5,3.5,DH - Dana Hills,3051,11424,1984,,631,,Sold,,,https://www.redfin.com/CA/Dana-Point/32931-Joel-Cir-92629/home/4966210,CRMLS,OC22026623,N,Y,33.4847056,-117.6988553
PAST SALE,April-18-2022,Single Family Residential,8082 E Cheshire Rd,Orange,CA,92867,1365000,4,2.5,"75 - Orange, Orange Park Acres E of 55",2459,5339,2002,,555,94,Sold,,,https://www.redfin.com/CA/Orange/8082-E-Cheshire-Rd-92867/home/5853336,CRMLS,OC22051464,N,Y,33.8298754,-117.7670455
PAST SALE,August-17-2023,Single Family Residential,1210 W Park Ave,Anaheim,CA,92801,1150000,5,3.5,79 - Anaheim West of Harbor,3453,10001,1961,,333,,Sold,,,https://www.redfin.com/CA/Anaheim/1210-W-Park-Ave-92801/home/3197779,CRMLS,OC23118960,N,Y,33.840125,-117.9324525
PAST SALE,April-26-2022,Condo/Co-op,227 Mayfair,Irvine,CA,92620,1051000,2,2,STG - Stonegate,1386,,2012,,758,370,Sold,,,https://www.redfin.com/CA/Irvine/227-Mayfair-92620/home/51681305,CRMLS,OC22057031,N,Y,33.7060819,-117.7436869
PAST SALE,July-14-2022,Townhouse,15243 Cambridge St,Tustin,CA,92782,820000,2,2.5,Columbus Square,1324,,2008,,619,391,Sold,,,https://www.redfin.com/CA/Tustin/15243-Cambridge-St-92782/home/17472689,CRMLS,OC22127991,N,Y,33.7129692,-117.8194514
PAST SALE,May-3-2024,Condo/Co-op,2314 Watermarke Pl,Irvine,CA,92612,610000,1,1,Watermarke (WATR),648,,2005,,941,499,Sold,,,https://www.redfin.com/CA/Irvine/2314-Watermarke-Pl-92612/home/5980712,CRMLS,OC24071518,N,Y,33.6652848,-117.8514589
PAST SALE,September-23-2021,Condo/Co-op,97 Anacapa Ct,Lake Forest,CA,92610,703000,3,2.5,FH - Foothill Ranch,1371,,1995,,513,311,Sold,,,https://www.redfin.com/CA/Foothill-Ranch/97-Anacapa-Ct-92610/home/5248640,CRMLS,OC21181890,N,Y,33.6856663,-117.6747947
PAST SALE,October-12-2021,Single Family Residential,33 Touraine Pl,Lake Forest,CA,92610,962000,3,2.5,FH - Foothill Ranch,2030,4680,1994,,474,84,Sold,,,https://www.redfin.com/CA/Foothill-Ranch/33-Touraine-Pl-92610/home/4802433,CRMLS,OC21208809,N,Y,33.6856272,-117.6494463
PAST SALE,August-24-2021,Single Family Residential,41 Bull Run,Irvine,CA,92620,1280000,4,2.5,NW - Northwood,2166,5400,1979,,591,,Sold,,,https://www.redfin.com/CA/Irvine/41-Bull-Run-92620/home/4781124,CRMLS,SW21141447,N,Y,33.7162998,-117.769199
PAST SALE,August-24-2021,Single Family Residential,1407 E 19th St,Santa Ana,CA,92705,920000,4,2,70 - Santa Ana North of First,1788,6120,1963,,515,,Sold,,,https://www.redfin.com/CA/Santa-Ana/1407-E-19th-St-92705/home/4457331,CRMLS,OC21158070,N,Y,33.7622578,-117.8480801
PAST SALE,January-21-2022,Single Family Residential,11603 Halawa Ln,Cypress,CA,90630,1250000,5,3,56 - Cypress South of Orangewood,2557,5000,1965,,489,,Sold,,,https://www.redfin.com/CA/Cypress/11603-Halawa-Ln-90630/home/3939946,CRMLS,OC21264142,N,Y,33.7938157,-118.0153004
PAST SALE,October-23-2023,Single Family Residential,10652 Dixie Dr,Anaheim,CA,92804,860000,3,2,79 - Anaheim West of Harbor,1321,7200,1954,,651,,Sold,,,https://www.redfin.com/CA/Anaheim/10652-Dixie-Dr-92804/home/3596809,CRMLS,OC23172189,N,Y,33.8081596,-117.9615154
PAST SALE,March-8-2024,Single Family Residential,5 Burke,Irvine,CA,92620,1800000,4,3,NW - Northwood,2132,4750,1985,,844,120,Sold,,,https://www.redfin.com/CA/Irvine/5-Burke-92620/home/4783354,CRMLS,OC24016100,N,Y,33.7080205,-117.7758307
PAST SALE,April-19-2024,Condo/Co-op,7 Riverstone #84,Irvine,CA,92606,1238500,3,2.5,WN - Walnut (Irvine),1437,,1985,,862,316,Sold,,,https://www.redfin.com/CA/Irvine/7-Riverstone-92606/unit-84/home/5201786,CRMLS,OC24062717,N,Y,33.7005585,-117.7974926
PAST SALE,July-25-2022,Single Family Residential,12 Amberhill,Irvine,CA,92602,1785000,4,2.5,WI - West Irvine,2733,6989,2000,,653,139,Sold,,,https://www.redfin.com/CA/Irvine/12-Amberhill-92602/home/5768754,CRMLS,OC22132698,N,Y,33.7445777,-117.7666294
PAST SALE,November-15-2021,Condo/Co-op,205 Stellar,Irvine,CA,92618,1395000,4,3.5,GP - Great Park,2955,,2017,,472,215,Sold,,,https://www.redfin.com/CA/Irvine/205-Stellar-92618/home/167413717,CRMLS,OC21187544,N,Y,33.6825847,-117.7337247
PAST SALE,September-2-2021,Single Family Residential,605 S Gilbert St,Fullerton,CA,92833,710000,3,2,83 - Fullerton,1041,6187,1952,,682,,Sold,,,https://www.redfin.com/CA/Fullerton/605-S-Gilbert-St-92833/home/3167341,CRMLS,OC21164950,N,Y,33.8637961,-117.9683525
PAST SALE,October-18-2022,Condo/Co-op,18910 Canyon Smt #25,Lake Forest,CA,92679,588000,2,2,PH - Portola Hills,1002,,1989,,587,456,Sold,,,https://www.redfin.com/CA/Lake-Forest/18910-Canyon-Smt-92679/unit-25/home/5677412,CRMLS,OC22207412,N,Y,33.686927,-117.626865
PAST SALE,February-18-2022,Condo/Co-op,23012 Via Cereza Unit A4,Mission Viejo,CA,92691,545000,2,1,MN - Mission Viejo North,932,,1971,,585,400,Sold,,,https://www.redfin.com/CA/Mission-Viejo/23012-Via-Cereza-92691/unit-A4/home/5303329,CRMLS,OC22010961,N,Y,33.6282163,-117.6736205
PAST SALE,February-15-2022,Single Family Residential,28 Dartmouth Ln,Coto De Caza,CA,92679,1460000,4,3.5,CC - Coto De Caza,2581,8038,1997,,566,220,Sold,,,https://www.redfin.com/CA/Coto-de-Caza/28-Dartmouth-Ln-92679/home/5012655,CRMLS,OC22010429,N,Y,33.5764578,-117.5805224
PAST SALE,September-16-2021,Single Family Residential,24901 Del Monte St,Laguna Hills,CA,92653,1250000,5,3,S2 - Laguna Hills,3054,8260,1979,,409,,Sold,,,https://www.redfin.com/CA/Laguna-Hills/24901-Del-Monte-St-92653/home/4860241,CRMLS,OC21183691,N,Y,33.586005,-117.6951985
PAST SALE,July-11-2022,Single Family Residential,36 Langford,Irvine,CA,92602,1650000,4,2.5,WI - West Irvine,2733,4950,1999,,604,139,Sold,,,https://www.redfin.com/CA/Irvine/36-Langford-92602/home/5768552,CRMLS,OC22120813,N,Y,33.7433404,-117.7684502
PAST SALE,October-11-2023,Condo/Co-op,400 N Acacia Ave Unit B39,Fullerton,CA,92831,400000,1,1,83 - Fullerton,677,,1965,,591,380,Sold,,,https://www.redfin.com/CA/Fullerton/400-N-Acacia-Ave-92831/unit-B39/home/5943685,CRMLS,OC23167328,N,Y,33.8733777,-117.8978686
PAST SALE,January-18-2022,Single Family Residential,640 S Broadview St,Anaheim,CA,92804,772500,3,2,79 - Anaheim West of Harbor,1316,6060,1956,,587,,Sold,,,https://www.redfin.com/CA/Anaheim/640-S-Broadview-St-92804/home/3604015,CRMLS,OC21254096,N,Y,33.823473,-117.948206
PAST SALE,September-13-2021,Condo/Co-op,657 S Kroeger St,Anaheim,CA,92805,820000,4,4.5,78 - Anaheim East of Harbor,1970,,2009,,416,237,Sold,,,https://www.redfin.com/CA/Anaheim/657-S-Kroeger-St-92805/home/28932954,CRMLS,OC21175799,N,Y,33.8294537,-117.9059304
PAST SALE,February-28-2023,Single Family Residential,143 Cardinal,Irvine,CA,92618,2015000,4,3.5,GP - Great Park,2599,6400,2013,,775,225,Sold,,,https://www.redfin.com/CA/Irvine/143-Cardinal-92618/home/51682993,CRMLS,OC23011967,N,Y,33.6982487,-117.7230367
PAST SALE,February-22-2022,Single Family Residential,5211 Marcella Ave,Cypress,CA,90630,950000,3,1.5,80 - Cypress North of Katella,1370,6000,1963,,693,,Sold,,,https://www.redfin.com/CA/Cypress/5211-Marcella-Ave-90630/home/3970235,CRMLS,OC22011821,N,Y,33.8144598,-118.0417547
PAST SALE,May-28-2024,Single Family Residential,128 W Knepp Ave,Fullerton,CA,92832,820000,2,1,Other (OTHR),1065,5175,1946,,770,,Sold,,,https://www.redfin.com/CA/Fullerton/128-W-Knepp-Ave-92832/home/3183566,CRMLS,IV24081168,N,Y,33.8624327,-117.9255914
PAST SALE,August-20-2021,Single Family Residential,6151 Leyte St,Cypress,CA,90630,1100000,6,3,56 - Cypress South of Orangewood,2718,5200,1971,,405,,Sold,,,https://www.redfin.com/CA/Cypress/6151-Leyte-St-90630/home/3942387,CRMLS,OC21149484,N,Y,33.7947601,-118.025333
PAST SALE,April-10-2023,Condo/Co-op,12 Crestline #109,Irvine,CA,92602,936000,3,2.5,WI - West Irvine,1368,,2001,,684,283,Sold,,,https://www.redfin.com/CA/Irvine/12-Crestline-92602/unit-109/home/5917140,CRMLS,OC23031064,N,Y,33.7296356,-117.7799429
PAST SALE,December-10-2021,Condo/Co-op,22 Liana Pl,Aliso Viejo,CA,92656,710000,2,2,AV - Aliso Viejo,1063,,1990,,668,377,Sold,,,https://www.redfin.com/CA/Aliso-Viejo/22-Liana-Pl-92656/home/5256561,CRMLS,OC21240624,N,Y,33.5757489,-117.7206302
PAST SALE,April-19-2022,Townhouse,18 Anacapa Ct,Lake Forest,CA,92610,700000,2,2.5,FH - Foothill Ranch,1222,,1995,,573,329,Sold,,,https://www.redfin.com/CA/Lake-Forest/18-Anacapa-Ct-92610/home/5248222,CRMLS,OC22061360,N,Y,33.6869851,-117.6756364
PAST SALE,May-18-2023,Condo/Co-op,24 Chaumont,Mission Viejo,CA,92692,880000,3,2.5,MS - Mission Viejo South,1559,,1996,,564,456,Sold,,,https://www.redfin.com/CA/Mission-Viejo/24-Chaumont-92692/home/5662361,CRMLS,OC23073909,N,Y,33.590665,-117.647931
PAST SALE,May-16-2024,Single Family Residential,1 Windsor,Irvine,CA,92620,2900000,4,3,Greenfield (GR),2939,7769,1986,,987,,Sold,,,https://www.redfin.com/CA/Irvine/1-Windsor-92620/home/4783192,CRMLS,OC24065870,N,Y,33.7109357,-117.7715678
